ts_consumo,throughput,avg_latencia,max_latencia
1770142103.91,1,0.0113,0.0113
1770142104.91,500,0.0182,0.0629
1770142105.92,500,0.0139,0.0252
1770142106.93,500,0.0137,0.0344
1770142107.95,500,0.0119,0.0304
1770142108.95,500,0.0141,0.0324
1770142109.96,500,0.0136,0.0321
1770142110.97,500,0.0123,0.0301
1770142111.98,500,0.0128,0.0293
1770142112.99,500,0.0123,0.0213
1770142114.00,500,0.0121,0.0264
1770142115.03,500,0.0123,0.0281
1770142116.03,500,0.0146,0.0292
1770142117.06,500,0.0140,0.0279
1770142118.07,527,0.0157,0.0274
1770142119.07,473,0.0137,0.0272
1770142120.07,507,0.0140,0.0289
1770142121.08,493,0.0143,0.0262
1770142122.09,500,0.0111,0.0284
1770142123.10,500,0.0123,0.0282
1770142124.12,500,0.0127,0.0317
1770142125.12,500,0.0141,0.0298
1770142126.13,500,0.0145,0.0288
1770142127.14,500,0.0120,0.0284
1770142128.14,500,0.0118,0.0670
1770142129.16,500,0.0528,0.3232
1770142130.17,500,0.0118,0.0360
1770142131.18,500,0.0136,0.0291
1770142132.19,500,0.0162,0.0601
1770142133.20,500,0.0123,0.0240
1770142134.21,500,0.0130,0.0249
1770142135.22,500,0.0170,0.0538
1770142136.23,500,0.0129,0.0287
1770142137.24,500,0.0133,0.0307
1770142138.26,500,0.0134,0.0287
1770142139.26,500,0.0135,0.0287
1770142140.29,500,0.0144,0.0296
1770142141.38,550,0.0129,0.0265
1770142142.39,500,0.0139,0.0412
1770142143.40,500,0.0120,0.0289
1770142144.63,498,0.0137,0.2245
1770142145.63,602,0.0410,0.3238
1770142146.64,500,0.0123,0.0252
1770142147.65,500,0.0133,0.0260
1770142148.65,500,0.0122,0.0219
1770142149.66,500,0.0121,0.0284
1770142150.69,500,0.0161,0.0350
1770142151.69,500,0.0146,0.0237
1770142152.69,500,0.0137,0.0243
1770142153.71,500,0.0114,0.0207
1770142154.71,500,0.0138,0.0263
1770142155.72,500,0.0141,0.0338
1770142156.74,500,0.0146,0.0640
1770142157.75,500,0.0127,0.0250
1770142158.76,500,0.0146,0.0297
1770142159.77,500,0.0127,0.0307
1770142160.78,500,0.0134,0.0312
1770142161.79,500,0.0114,0.0241
1770142162.80,500,0.0136,0.0663
1770142163.82,500,0.0155,0.0293
1770142164.83,500,0.0175,0.0525
1770142165.84,500,0.0131,0.0270
1770142166.85,500,0.0138,0.0656
1770142167.86,500,0.0141,0.0289
1770142168.87,500,0.0115,0.0294
1770142169.88,500,0.0145,0.0415
1770142170.89,500,0.0122,0.0254
1770142171.90,500,0.0130,0.0306
1770142172.91,500,0.0143,0.0279
1770142173.92,500,0.0156,0.0675
1770142174.93,500,0.0138,0.0250
1770142175.95,543,0.0132,0.0288
1770142176.96,497,0.0118,0.0253
1770142177.97,460,0.0134,0.0299
1770142178.98,520,0.0149,0.0358
1770142179.99,516,0.0134,0.0246
1770142181.00,501,0.0113,0.0269
1770142182.01,499,0.0158,0.0277
1770142183.10,514,0.0138,0.0287
1770142184.12,500,0.0142,0.0310
1770142185.12,500,0.0129,0.0255
1770142186.13,500,0.0132,0.0240
1770142187.14,500,0.0112,0.0255
1770142188.15,500,0.0159,0.0253
1770142189.15,500,0.0159,0.0587
1770142190.17,500,0.0127,0.0247
1770142191.19,500,0.0136,0.0270
1770142192.19,515,0.0130,0.0292
1770142193.19,485,0.0141,0.0293
1770142194.21,500,0.0128,0.0281
1770142195.21,500,0.0125,0.0275
1770142196.22,500,0.0140,0.0275
1770142197.24,500,0.0143,0.0268
1770142198.24,500,0.0129,0.0292
1770142199.25,500,0.0130,0.0299
1770142200.26,500,0.0125,0.0276
1770142201.27,500,0.0153,0.0352
1770142202.28,500,0.0122,0.0235
1770142203.30,500,0.0131,0.0257
1770142204.33,500,0.0145,0.0687
1770142205.33,500,0.0158,0.0324
1770142206.43,550,0.0138,0.0266
1770142207.44,500,0.0143,0.0613
1770142208.45,500,0.0133,0.0298
1770142209.46,500,0.0140,0.0261
1770142210.47,500,0.0161,0.0304
1770142211.47,500,0.0159,0.0663
1770142212.49,500,0.0135,0.0224
1770142213.49,500,0.0140,0.0225
1770142214.51,500,0.0164,0.0279
1770142215.51,500,0.0136,0.0293
1770142216.52,500,0.0142,0.0277
1770142217.53,500,0.0135,0.0298
1770142218.54,500,0.0123,0.0605
1770142219.56,500,0.0125,0.0314
1770142220.56,515,0.0151,0.0325
1770142221.57,485,0.0115,0.0225
1770142222.58,500,0.0153,0.0283
1770142223.59,500,0.0112,0.0271
1770142224.60,500,0.0140,0.0585
1770142225.61,500,0.0120,0.0261
1770142226.61,500,0.0128,0.0243
1770142227.63,500,0.0108,0.0272
1770142228.64,500,0.0172,0.0306
1770142229.65,500,0.0115,0.0285
1770142230.65,500,0.0105,0.0321
1770142231.68,500,0.0104,0.0266
1770142232.68,500,0.0116,0.0239
1770142233.68,500,0.0140,0.0246
1770142234.70,500,0.0154,0.0244
1770142235.71,500,0.0114,0.0266
1770142236.72,500,0.0122,0.0259
1770142237.72,500,0.0137,0.0278
1770142238.73,500,0.0118,0.0686
1770142239.74,500,0.0126,0.0259
1770142240.75,500,0.0128,0.0245
1770142241.76,500,0.0111,0.0237
1770142242.77,500,0.0129,0.0274
1770142243.79,500,0.0108,0.0260
1770142244.80,500,0.0118,0.0252
1770142245.80,500,0.0106,0.0199
1770142246.81,500,0.0105,0.0276
1770142247.82,500,0.0115,0.0269
1770142248.83,500,0.0120,0.0298
1770142249.84,500,0.0143,0.0277
1770142250.85,500,0.0110,0.0266
1770142251.86,500,0.0122,0.0282
1770142252.89,500,0.0145,0.0392
1770142253.98,550,0.0146,0.0402
1770142254.98,500,0.0125,0.0266
1770142255.99,500,0.0108,0.0239
1770142257.00,500,0.0116,0.0238
1770142258.02,500,0.0103,0.0266
1770142259.03,500,0.0121,0.0295
1770142260.04,500,0.0110,0.0207
1770142261.04,500,0.0176,0.0548
1770142262.05,500,0.0127,0.0299
1770142263.06,500,0.0163,0.0627
1770142264.07,500,0.0135,0.0290
1770142265.09,500,0.0150,0.0509
1770142266.09,502,0.0151,0.0250
1770142267.10,498,0.0138,0.0265
1770142268.11,500,0.0109,0.0252
1770142269.12,500,0.0130,0.0622
1770142270.14,500,0.0137,0.0287
1770142271.23,550,0.0130,0.0249
1770142272.25,500,0.0146,0.0273
1770142273.25,500,0.0148,0.0257
1770142274.26,500,0.0128,0.0220
1770142275.27,500,0.0118,0.0278
1770142276.28,500,0.0104,0.0270
1770142277.30,500,0.0123,0.0307
1770142278.40,550,0.0123,0.0283
1770142279.41,500,0.0125,0.0297
1770142280.41,500,0.0105,0.0254
1770142281.42,500,0.0144,0.0545
1770142282.43,500,0.0117,0.0276
1770142283.44,500,0.0126,0.0279
1770142284.45,500,0.0171,0.0646
1770142285.46,500,0.0114,0.0268
1770142286.47,500,0.0142,0.0281
1770142287.48,500,0.0127,0.0298
1770142288.49,500,0.0143,0.0528
1770142289.50,500,0.0135,0.0302
1770142290.51,500,0.0126,0.0281
1770142291.53,500,0.0127,0.0442
1770142292.54,500,0.0115,0.0227
1770142293.55,500,0.0618,0.3157
1770142294.56,500,0.0135,0.0312
1770142295.57,500,0.0102,0.0203
1770142296.58,500,0.0118,0.0257
1770142297.59,500,0.0143,0.0277
1770142298.60,500,0.0134,0.0295
1770142299.61,500,0.0127,0.0280
1770142300.62,500,0.0137,0.0563
1770142301.63,500,0.0140,0.0547
1770142302.63,500,0.0115,0.0268
1770142303.65,500,0.0116,0.0231
1770142304.65,500,0.0127,0.0265
1770142305.66,500,0.0141,0.0321
1770142306.67,500,0.0096,0.0205
1770142307.68,500,0.0132,0.0275
1770142308.69,500,0.0121,0.0267
1770142309.70,500,0.0112,0.0254
1770142310.71,500,0.0121,0.0237
1770142311.71,500,0.0123,0.0264
1770142312.72,500,0.0137,0.0318
1770142313.73,500,0.0140,0.0237
1770142314.74,500,0.0137,0.0253
1770142315.74,500,0.0132,0.0285
1770142316.75,500,0.0129,0.0282
1770142317.76,500,0.0135,0.0343
1770142318.77,500,0.0139,0.0313
1770142319.78,500,0.0129,0.0288
1770142320.79,500,0.0117,0.0225
1770142321.80,500,0.0115,0.0242
1770142322.84,500,0.0134,0.0452
1770142323.92,550,0.0157,0.0469
1770142324.93,500,0.0118,0.0272
1770142325.93,500,0.0120,0.0267
1770142326.94,500,0.0151,0.0580
1770142327.94,500,0.0137,0.0277
1770142328.96,500,0.0116,0.0297
1770142329.97,500,0.0142,0.0584
1770142330.97,515,0.0147,0.0230
1770142331.98,485,0.0149,0.0249
1770142333.00,500,0.0120,0.0249
1770142334.01,500,0.0128,0.0214
1770142335.01,500,0.0128,0.0235
1770142336.02,500,0.0122,0.0297
1770142337.02,500,0.0107,0.0272
1770142338.04,500,0.0120,0.0639
1770142339.04,500,0.0103,0.0223
1770142340.05,500,0.0137,0.0271
1770142341.06,500,0.0139,0.0581
1770142342.07,500,0.0121,0.0264
1770142343.08,500,0.0122,0.0296
1770142344.09,500,0.0122,0.0235
1770142345.10,500,0.0120,0.0621
1770142346.11,500,0.0120,0.0754
1770142347.12,500,0.0142,0.0308
1770142348.13,500,0.0139,0.0282
1770142349.15,500,0.0128,0.0311
1770142350.15,506,0.0152,0.0287
1770142351.16,494,0.0123,0.0269
1770142352.17,500,0.0147,0.0618
1770142353.17,500,0.0116,0.0264
1770142354.18,500,0.0112,0.0250
1770142355.19,500,0.0143,0.0330
1770142356.20,500,0.0123,0.0289
1770142357.21,500,0.0158,0.0660
1770142358.22,500,0.0150,0.0276
1770142359.22,500,0.0131,0.0338
1770142360.23,500,0.0133,0.0297
1770142361.24,500,0.0129,0.0301
1770142362.25,500,0.0131,0.0281
1770142363.27,500,0.0128,0.0286
1770142364.28,521,0.0147,0.0398
1770142365.29,479,0.0150,0.0537
1770142366.29,530,0.0158,0.0247
1770142367.30,470,0.0138,0.0288
1770142368.31,534,0.0177,0.0564
1770142369.42,516,0.0125,0.0596
1770142370.42,500,0.0127,0.0275
1770142371.43,500,0.0150,0.0677
1770142372.43,500,0.0110,0.0262
1770142373.44,500,0.0130,0.0365
1770142374.46,500,0.0118,0.0241
1770142375.47,500,0.0130,0.0283
1770142376.48,500,0.0122,0.0307
1770142377.49,500,0.0137,0.0282
1770142378.49,500,0.0132,0.0268
1770142379.50,500,0.0142,0.0267
1770142380.51,500,0.0136,0.0620
1770142381.52,500,0.0151,0.0294
1770142382.53,500,0.0124,0.0295
1770142383.54,500,0.0130,0.0303
1770142384.55,500,0.0141,0.0293
1770142385.56,500,0.0128,0.0293
1770142386.57,500,0.0112,0.0225
1770142387.58,500,0.0147,0.0324
1770142388.58,500,0.0110,0.0281
1770142389.60,500,0.0104,0.0275
1770142390.70,550,0.0134,0.0224
1770142391.71,500,0.0130,0.0274
1770142392.73,500,0.0156,0.0263
1770142393.74,500,0.0199,0.0618
1770142394.75,500,0.0152,0.0384
1770142395.76,500,0.0110,0.0246
1770142396.77,500,0.0133,0.0292
1770142397.79,500,0.0119,0.0273
1770142398.81,524,0.0119,0.0250
1770142399.82,518,0.0122,0.0273
1770142400.83,486,0.0144,0.0579
1770142401.91,522,0.0124,0.0266
1770142402.92,500,0.0137,0.0251
1770142403.93,500,0.0631,0.3128
1770142404.94,500,0.0175,0.0620
1770142405.96,500,0.0121,0.0293
